"gross","review","budget","screens","sequel","sentiment","views","likes","dislikes","comments","followers"
"285",307400000,"NOT RECOMMENDED",9500000,1586,"Sequel",10,13154873,46684,704,8578,452367
"286",217200000,"RECOMMENDED",1.9e+08,4004,"Main",2,1156609,2968,362,547,11890000
"287",69700000,"NOT RECOMMENDED",12500000,2253,"Main",0,446576,659,112,45,21697300
"288",169500000,"RECOMMENDED",1.65e+08,3761,"Main",0,177465,595,1,71,199800
"289",7100000,"NOT RECOMMENDED",5e+06,853,"Main",0,519327,963,453,70,217000
"290",108400000,"RECOMMENDED",3.1e+07,3411,"Sequel",0,8429023,27484,405,2195,2347000
"291",1.01e+08,"RECOMMENDED",9.5e+07,2875,"Main",-8,4826940,10521,107,755,804300
"292",57300000,"NOT RECOMMENDED",8e+06,2809,"Main",0,6132551,14539,858,846,11783000
"293",12300000,"NOT RECOMMENDED",11712311,2,"Sequel",26,831044,2427,58,247,610207
"294",3.7e+07,"RECOMMENDED",1.2e+07,2,"Main",-4,463866,3400,794,987,168700
"295",11500000,"RECOMMENDED",3e+07,90,"Main",10,1303646,3306,7,564,1618000
"296",183300000,"NOT RECOMMENDED",7e+06,482,"Sequel",7,3305047,11733,112,4319,4769100
"297",1.13e+08,"NOT RECOMMENDED",2e+07,3465,"Sequel",3,3554189,14152,478,1782,727000
"298",48800000,"NOT RECOMMENDED",2.5e+07,2991,"Main",3,5546710,15351,341,1271,776000
"299",60500000,"NOT RECOMMENDED",3.5e+07,2777,"Main",0,2088644,6633,1128,1235,4850539
"300",4e+05,"NOT RECOMMENDED",2800000,449,"Main",1,1167941,2651,17,797,180100
"301",65300000,"NOT RECOMMENDED",5.5e+07,3303,"Main",0,4092871,8781,1111,2046,124000
"302",1.7e+07,"NOT RECOMMENDED",1.2e+07,1393,"Main",0,3726728,6221,325,1074,275873
"303",89500000,"RECOMMENDED",7e+07,2801,"Main",6,13661095,41254,270,18077,395500
"304",70200000,"RECOMMENDED",4e+07,3205,"Main",1,9143740,34746,764,5107,2731000
"305",1.08e+08,"RECOMMENDED",6.8e+07,3442,"Main",0,3429055,7682,17,727,10988000
"306",61200000,"NOT RECOMMENDED",5e+07,2440,"Main",17,3466458,6096,1840,977,4720000
"307",84600000,"RECOMMENDED",7e+07,2104,"Sequel",16,5588384,15144,34,1499,1174806
"308",2.3e+07,"RECOMMENDED",5e+06,2061,"Main",1,9143740,34746,627,5107,130000
"309",48600000,"RECOMMENDED",1.2e+07,3031,"Main",7,5128288,18475,207,1579,4184000
"310",34500000,"NOT RECOMMENDED",1.7e+07,1534,"Main",1,999867,4212,98,250,2356000
"311",6400000,"RECOMMENDED",1e+06,726,"Main",-2,10341783,24413,213,3426,2182
"312",117100000,"RECOMMENDED",1.03e+08,3948,"Main",0,3429055,7682,45,727,154400
"313",104500000,"RECOMMENDED",1e+08,2658,"Main",-4,1735700,6772,325,889,370000
"314",57400000,"NOT RECOMMENDED",2.2e+07,3260,"Main",0,1828235,7633,27,685,3185900
"315",73400000,"RECOMMENDED",7e+07,2104,"Main",0,4846645,14722,106,2732,1174806
"316",51400000,"NOT RECOMMENDED",4.2e+07,3427,"Main",0,2117798,2124,944,626,1668302
"317",1.8e+07,"NOT RECOMMENDED",1.1e+07,1272,"Main",0,550734,894,485,77,1800000
"318",1.8e+08,"RECOMMENDED",1.8e+08,3948,"Main",18,9597644,32558,2083,8359,5633
"319",45300000,"NOT RECOMMENDED",1.2e+07,3031,"Main",0,4846645,14722,431,2732,4184000
"320",233800000,"RECOMMENDED",1.7e+08,4080,"Sequel",10,5085068,14359,2210,2468,2750000
"321",161700000,"RECOMMENDED",1e+08,3595,"Main",2,50444,238,118,28,9414000
"322",51500000,"NOT RECOMMENDED",4e+07,2905,"Main",8,1223790,2934,89,226,27323
"323",2700000,"NOT RECOMMENDED",5e+06,374,"Main",7,4442147,10605,794,2739,1045200
"324",138900000,"RECOMMENDED",1.25e+08,3567,"Main",27,1470438,4314,58,511,1810000
"325",32900000,"NOT RECOMMENDED",2487820,2,"Sequel",6,523457,2187,136,565,854255
"326",24100000,"NOT RECOMMENDED",1e+05,2720,"Main",2,3779254,13535,564,1221,249297
"327",25600000,"NOT RECOMMENDED",3500000,2310,"Main",26,831044,2427,153,247,1923800
"328",130300000,"RECOMMENDED",1.1e+08,3875,"Main",0,2063089,5858,253,346,4240000
"329",100700000,"NOT RECOMMENDED",6.5e+07,3116,"Sequel",0,465219,1348,1,162,5130800
"330",2e+07,"NOT RECOMMENDED",1.1e+07,1272,"Main",2,3779254,13535,573,1221,1800000
"331",43400000,"RECOMMENDED",1.4e+07,1841,"Main",0,14453673,33092,467,5005,14586
"332",3e+07,"RECOMMENDED",3e+06,1694,"Main",3,11472161,22779,786,2863,1687578
"333",56100000,"NOT RECOMMENDED",8500000,2766,"Sequel",0,827239,3221,45,432,3356830
"334",90700000,"RECOMMENDED",6e+07,3464,"Main",10,476747,2079,148,232,1280000
"335",47200000,"RECOMMENDED",2.8e+07,2714,"Main",29,4700023,14163,207,1293,125646
"336",176500000,"RECOMMENDED",1.45e+08,3934,"Main",11,2513544,6970,0,1105,8839043
"337",194400000,"RECOMMENDED",1.5e+08,4274,"Sequel",3,11472161,22779,269,2863,6180000
"338",3300000,"NOT RECOMMENDED",5e+06,25,"Main",4,3320754,4322,1940,1105,1658900
"339",129700000,"RECOMMENDED",8.8e+07,3723,"Main",0,930006,5150,641,1484,2466000
"340",12400000,"RECOMMENDED",4.8e+07,21,"Main",16,5588384,15144,207,1499,216000
"341",56200000,"NOT RECOMMENDED",5e+07,3434,"Main",-2,1341909,1607,46,48,301000
"342",68500000,"RECOMMENDED",8e+06,2809,"Main",1,9511288,19903,255,2955,11783000
"343",76700000,"NOT RECOMMENDED",12500000,2253,"Main",0,522630,1248,123,227,21697300
"344",14900000,"RECOMMENDED",1.5e+07,794,"Main",19,2393017,13291,641,584,585000
"345",12900000,"NOT RECOMMENDED",2e+07,818,"Main",2,1854103,2207,565,593,130655
"346",37300000,"RECOMMENDED",5e+07,12,"Main",2,381071,238,34,43,10364000
"347",200100000,"RECOMMENDED",1.7e+08,4080,"Main",3,419470,2218,10,239,2750000
"348",189400000,"RECOMMENDED",1.65e+08,3761,"Sequel",10,1438350,4028,454,543,199800
"349",42800000,"NOT RECOMMENDED",2.5e+07,3019,"Main",0,3726728,6221,1,1074,130000
"350",36100000,"RECOMMENDED",2.4e+07,66,"Main",2,3305417,14684,132,1176,13720000
"351",146900000,"RECOMMENDED",1e+08,3372,"Sequel",9,3047849,11748,984,1237,250000
"352",158800000,"RECOMMENDED",1.1e+08,3777,"Main",1,9214467,39824,500,1987,9737600
"353",15500000,"NOT RECOMMENDED",2e+06,780,"Main",0,14141585,36646,4752,6811,412000
"354",2.5e+07,"NOT RECOMMENDED",9e+06,2805,"Main",0,2088644,6633,2581,1235,49424
"355",26500000,"NOT RECOMMENDED",7e+06,2544,"Main",-2,1364537,3824,413,772,9536
"356",126500000,"NOT RECOMMENDED",2e+06,147,"Sequel",-38,11037833,36874,1,4360,1773247
"357",71900000,"NOT RECOMMENDED",3300000,4,"Sequel",15,1671367,6823,34,1666,1280000
"358",34300000,"NOT RECOMMENDED",4.4e+07,4233,"Main",0,7075635,6096,4382,6811,2740000
"359",33200000,"NOT RECOMMENDED",2400000,3387,"Main",-1,3145573,10535,89,1176,804300
"360",90600000,"NOT RECOMMENDED",7.5e+07,2867,"Main",2,943306,1230,107,3403,2113
"361",4.5e+07,"NOT RECOMMENDED",3.7e+07,2772,"Main",-2,1841293,1309,167,2104,250000
"362",50500000,"RECOMMENDED",1.8e+07,200,"Main",29,3320754,32558,269,3479,21586000
"363",9.6e+07,"RECOMMENDED",1.1e+07,3158,"Main",21,1156609,12607,52,2214,3744000
"364",49200000,"NOT RECOMMENDED",3.1e+07,2666,"Main",0,3650720,8369,1,92,1800000
"365",60700000,"NOT RECOMMENDED",2e+07,3175,"Main",0,13154873,4740,1940,700,124000
"366",63800000,"NOT RECOMMENDED",1.2e+07,2905,"Main",-38,8429023,9230,56,4973,10070000
"367",21400000,"NOT RECOMMENDED",1850000,3003,"Main",0,3850758,2427,98,3134,55618
"368",28500000,"NOT RECOMMENDED",1.2e+07,3934,"Main",1,1223790,2346,625,77,20700
"369",20400000,"NOT RECOMMENDED",5e+06,2602,"Main",13,3013011,1406,478,755,1655987
"370",182700000,"RECOMMENDED",2.5e+08,1281,"Main",-1,5546710,461,58,909,644000
"371",59300000,"NOT RECOMMENDED",3e+07,3154,"Main",-1,6501107,82,13,189,2466000
"372",59600000,"NOT RECOMMENDED",2.5e+07,3411,"Main",-4,7977747,2479,325,496,1800000
"373",35800000,"NOT RECOMMENDED",2.5e+07,482,"Sequel",-4,386857,1847,454,182,1618000
"374",132100000,"RECOMMENDED",9e+07,65,"Main",9,386857,6696,553,133,9737600
"375",6e+07,"RECOMMENDED",1e+06,3003,"Main",0,14141585,17541,153,228,420000
"376",121800000,"RECOMMENDED",6.6e+07,2104,"Main",6,735551,8809,4,250,4289304
"377",25800000,"NOT RECOMMENDED",6500000,1841,"Main",2,7075635,1348,112,387,301000
"378",102100000,"NOT RECOMMENDED",2.5e+07,2772,"Sequel",-1,2269032,18770,764,727,1480000
"379",157900000,"RECOMMENDED",1.5e+08,3306,"Main",0,1341909,5879,649,378,1618000
"380",10800000,"NOT RECOMMENDED",6500000,461,"Main",0,3037329,2571,32,230,5563500
"381",140100000,"RECOMMENDED",1.5e+08,2567,"Main",7,6646785,3089,625,2395,804300
"382",24500000,"NOT RECOMMENDED",8e+06,12,"Main",6,5403836,23254,3439,1087,11783000
"383",171900000,"RECOMMENDED",5e+06,3845,"Sequel",-4,7560211,50002,82,772,6605000
"384",175500000,"RECOMMENDED",1.9e+08,2855,"Main",11,3280543,5858,133,890,2356000
"385",52400000,"NOT RECOMMENDED",2.5e+07,2666,"Main",13,522630,1348,750,247,3209000
"386",104600000,"NOT RECOMMENDED",4.2e+07,2968,"Sequel",0,5546710,13030,535,2395,1865000
"387",297400000,"NOT RECOMMENDED",7.4e+07,3948,"Sequel",9,924347,2975,538,5107,452367
"388",93300000,"RECOMMENDED",5e+07,3261,"Main",2,909596,5664,255,882,1888000
"389",261500000,"NOT RECOMMENDED",6.5e+07,1762,"Sequel",0,355563,14139,543,4435,1188000
"390",19300000,"NOT RECOMMENDED",7e+06,3,"Main",0,2276605,9230,558,7139,1307431
"391",33800000,"NOT RECOMMENDED",9e+06,2800,"Main",0,6646785,4740,213,2214,9842
"392",18700000,"NOT RECOMMENDED",2e+07,929,"Main",0,4450824,1312,630,632,804300
"393",35600000,"NOT RECOMMENDED",5e+06,3090,"Sequel",11,3701061,9595,104,714,1198000
"394",34600000,"NOT RECOMMENDED",12500000,3031,"Main",15,2554327,4314,17,3134,324925
"395",244700000,"NOT RECOMMENDED",3.5e+07,3938,"Sequel",9,166612,10062,969,7139,881000
